location,axlegroup,startdate,enddate,mean,median,0-1 tonn,1-2 tonn,2-3 tonn,3-4 tonn,4-5 tonn,5-6 tonn,6-7 tonn,7-8 tonn,8-9 tonn,9-10 tonn,10-11 tonn,11-12 tonn,12-13 tonn,13-14 tonn,14-15 tonn,15-16 tonn,16-17 tonn,17-18 tonn,18-19 tonn,19-20 tonn,20-21 tonn,21-22 tonn,22-23 tonn,23-24 tonn,24-25 tonn,25-26 tonn,26-27 tonn,27-28 tonn,28-29 tonn,29-30 tonn
Verdal,Enkeltaksler,2016-04-30,2016-05-31,5.319449013926535,5.7,419,7144,3372,2967,3690,5565,6589,6661,4240,1279,529,230,73,24,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Verdal,Boggiaksler,2016-04-30,2016-05-31,11.79977758365811,12.059999999999999,97,699,311,172,449,288,572,863,942,829,987,1131,1299,1183,801,631,691,856,1066,652,231,93,27,7,1,3,1,0,0,0
Verdal,Trippelaksler,2016-04-30,2016-05-31,21.24981751824818,22.835,0,0,0,1,0,0,0,0,0,4,16,19,4,7,17,12,14,18,26,18,35,36,64,91,93,44,21,5,2,1
Ånestad,Enkeltaksler,2022-10-13,2022-10-20,5.510714427860696,6.08,89,1981,627,409,686,1140,1674,1628,1037,442,200,95,22,7,2,2,3,4,1,1,0,0,0,0,0,0,0,0,0,0
Ånestad,Boggiaksler,2022-10-13,2022-10-20,12.175700291788246,12.77,109,229,77,14,51,135,153,177,210,245,308,361,433,409,385,332,271,279,297,198,94,24,4,1,1,0,0,0,1,0
Ånestad,Trippelaksler,2022-10-13,2022-10-20,15.398924788135592,14.600000000000001,2,6,3,9,8,34,88,107,75,91,119,95,113,128,113,99,82,71,72,65,61,51,70,73,96,75,59,20,2,0
Ånestad,Enkeltaksler,2022-10-13,2022-10-20,5.541229061553986,6.09,96,2013,635,395,645,1071,1395,1591,1219,496,191,119,35,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ånestad,Boggiaksler,2022-10-13,2022-10-20,12.465182839632277,13.45,113,240,93,58,79,114,120,149,189,216,209,305,382,411,397,430,384,351,280,228,104,25,9,6,1,2,0,0,0,0
Ånestad,Trippelaksler,2022-10-13,2022-10-20,18.106125265392784,20.275000000000002,0,6,5,3,2,30,49,81,79,68,63,57,65,57,50,43,64,54,56,81,115,143,168,173,157,109,75,23,4,1
Ånestad,Enkeltaksler,2023-09-30,2024-01-21,5.268332427574099,5.59,1614,45198,15739,5091,7576,15457,17420,21250,18634,10343,4907,2343,1339,386,87,24,16,7,4,5,2,1,1,1,0,0,1,0,0,0
Ånestad,Boggiaksler,2023-09-30,2024-01-21,13.509829680852619,14.59,1703,2604,1117,698,975,1060,1460,1788,2029,2524,2483,3037,3933,5117,6227,5529,5885,5552,4835,4265,3258,1669,456,106,46,24,11,6,1,1
Ånestad,Trippelaksler,2023-09-30,2024-01-21,19.265076950544547,21.51,17,107,62,89,55,226,464,790,1112,1161,1021,907,915,728,728,674,736,768,768,928,1068,1368,1662,2201,2434,2633,2146,1401,582,170
Ånestad,Enkeltaksler,2023-09-30,2024-01-21,5.365155668277166,5.86,1242,38763,12729,5928,9655,17316,23861,25137,16408,8068,4246,1709,628,164,44,25,28,18,11,5,2,0,0,0,0,2,0,1,0,0
Ånestad,Boggiaksler,2023-09-30,2024-01-21,12.460267898774955,13.030000000000001,1430,2366,969,521,733,1948,2690,2930,3351,3858,3911,4844,5617,5934,5577,5317,4681,4126,3629,3302,2121,653,164,46,35,9,7,2,0,1
Ånestad,Trippelaksler,2023-09-30,2024-01-21,15.80453223256631,15.11,9,121,65,58,56,246,944,1620,1527,1362,1409,1655,1704,1688,1573,1537,1395,1267,1123,1072,1116,1046,966,935,1061,1123,993,553,164,55
